Coordinate { x: 0.049804800134716325, y: 0.0005854728650173823 }
Coordinate { x: 3.3822246942012373, y: 0.007320770541181995 }
Coordinate { x: 3.4116487763048564, y: 0.006973407507032804 }
Coordinate { x: 3.4409363347797073, y: 0.006617815207810898 }
Coordinate { x: 3.470088588901759, y: 0.006254023350692344 }
Coordinate { x: 3.499106741669386, y: 0.005882061246938111 }
Coordinate { x: 3.527991980091646, y: 0.005501957818917942 }
Coordinate { x: 3.556745475470198, y: 0.005113741606979529 }
Coordinate { x: 3.5853683836750374, y: 0.004717440776167047 }
Coordinate { x: 3.6138618454142044, y: 0.004313083122793026 }
Coordinate { x: 3.6422269864976253, y: 0.003900696080867362 }
Coordinate { x: 3.670464918095239, y: 0.0034803067283871963 }
Coordinate { x: 3.6985767369895557, y: 0.0030519417934912673 }
Coordinate { x: 3.726563525822794, y: 0.0026156276604822146 }
Coordinate { x: 3.75442635333873, y: 0.002171390375720235 }
Coordinate { x: 3.7821662746194007, y: 0.0017192556533913736 }
Coordinate { x: 3.809784331316787, y: 0.001259248881153643 }
Coordinate { x: 3.8372815518796046, y: 0.0007913951256640605 }
Coordinate { x: 3.8646589517753296, y: 0.00031571913798961453 }
Coordinate { x: 3.8824594124471843, y: 0.0 }
